WPRDC_ID,HomeZipCode,Destination,Other,MilesOneWay,CommuteDays,PrimaryMode,PrimaryModePercentCommute,PrimaryModeNumberTrips,SecondaryMode,SecondaryModePercentCommute,SecondaryModeNumberTrips,TertiaryMode,TertiaryModePercentCommute,TertiaryModeNumberTrips
10807,15219,Other (please specify),North Side,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10848,15219,Uptown / Bluff,,1.026367277,5,Walk,70,7,Drive Alone,20,2,Light Rail (T),10,1
10873,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
11028,15219,Oakland,,1.587772054,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
11451,15219,Oakland,,1.587772054,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
12000,15219,Other (please specify),East Liberty ,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",60,6,Bike,40,4,I do not use a third transportation method,0,0
12118,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,4,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",60,4.8,Telecommute,40,3.2,I do not use a third transportation method,0,0
12588,15219,Oakland,,1.587772054,5,Dropped off / Picked up,50,5,I only commute by one method,,0,Drove Alone,50,5
13358,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",50,5,Dropped Off,40,4,Walk,10,1
13463,15219,Oakland,,1.587772054,4,Bus,80,6.4,Walk,20,1.6,I do not use a third transportation method,0,0
13660,15219,Uptown / Bluff,,1.026367277,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",75,8,Light Rail (T),25,3,I do not use a third transportation method,0,0
13669,15219,Uptown / Bluff,,1.026367277,5,Walk,67,7,Bus,33,3,I do not use a third transportation method,0,0
14873,15219,Other (please specify),Squirrel Hill,,5,Bus,70,7,Walk,30,3,I do not use a third transportation method,0,0
14967,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,Bus,50,5,Bus,50,5,I do not use a third transportation method,0,0
15120,15219,Other (please specify),Garfield,,2,Bus,60,2.4,Drive Alone,40,1.6,I do not use a third transportation method,0,0
15145,15219,Uptown / Bluff,,1.026367277,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
15159,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,Bus,50,5,Walk,50,5,I do not use a third transportation method,0,0
15172,15219,Uptown / Bluff,,1.026367277,5,Light Rail (T),50,5,Drive Alone,30,3,Walk,20,2
15174,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,3,Light Rail (T),50,3,Bus,20,1.2,Walk,30,1.8
15220,15219,Oakland,,1.587772054,5,Bus,90,9,Walk,10,1,I do not use a third transportation method,0,0
15223,15219,Other (please specify),North Side,,5,Bus,50,5,Drive Alone,50,5,I do not use a third transportation method,0,0
15570,15219,Other (please specify),Other,,6,Bus,50,6,Walk,40,4.8,Light Rail (T),10,1.2
15744,15219,Other (please specify),Hill District,,6,Bus,100,12,I only commute by one method,0,0,I do not use a third transportation method,0,0
16170,15219,Oakland,,1.587772054,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
16500,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,Bus,80,8,Dropped Off,20,2,I do not use a third transportation method,0,0
16767,15219,Other (please specify),North Side,,4,Bus,60,4.8,Bike,40,3.2,I do not use a third transportation method,0,0
16816,15219,Oakland,,1.587772054,5,Walk,25,3,Bus,75,8,I do not use a third transportation method,0,0
16962,15219,Oakland,,1.587772054,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
17037,15219,Other (please specify),Point Breeze,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
17110,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
17115,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,Walk,60,6,Bus,30,3,Bike,10,1
17237,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,5,Bus,60,6,Walk,40,4,I do not use a third transportation method,0,0
17359,15219,Downtown (includes Golden Triangle & Lower Hill),,1.026367277,6,Walk,90,10.8,Light Rail (T),10,1.2,I do not use a third transportation method,0,0
